workflow,quality_level,method,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status,selected_initializer
workflow2,Q2,decomposition,inf,8.431467589484104,9424.203857951692,22696.34346215045,36417.67175845399,0.0398,4860.473609634693,364.4754648339877,INFEASIBLE,
workflow2,Q3,decomposition,inf,20.95804755490732,15814.184811001276,41957.83169914746,68961.55092421746,0.06874,14918.180928706148,292.84621379099553,INFEASIBLE,
workflow1,Q1,decomposition,inf,1.8014148806196806,4897.577195567062,9801.735255076625,12972.440037043556,0.06354,1648.2311730280887,44.56880891698529,INFEASIBLE,
workflow1,Q2,decomposition,inf,6.979769689929581,10599.24323736614,26848.9724950125,42094.69367490282,0.06614,8591.948252714245,95.93279558300856,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295721633246075,15648.722419127247,41887.185770314936,68370.25044998074,0.06694,14770.760682559256,109.42051279099542,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.4000319747684045,4892.082611198371,9850.872735041838,12967.021080171504,0.06478,1604.3605781101787,468.77239524998,INFEASIBLE,
workflow2,Q2,decomposition,inf,8.43138799168423,10545.23918018982,26008.294224575544,42419.27747542923,0.06544,8730.408159186674,404.1706832089985,INFEASIBLE,
workflow2,Q3,decomposition,inf,20.958047546214324,15814.182627798744,41957.82951603761,68961.54873976785,0.06874,14918.178745506995,415.8820006659953,INFEASIBLE,
workflow1,Q1,decomposition,inf,1.8014148806196806,4897.577195567062,9801.735255076625,12972.440037043556,0.06354,1648.2311730280887,85.68444695795188,INFEASIBLE,
workflow1,Q2,decomposition,inf,6.97984589383861,9469.155613166136,23434.71783546181,36218.24297205128,0.0408,4763.328268075537,62.2445280830143,INFEASIBLE,
workflow1,Q3,decomposition,inf,20.295869122608355,14777.583273867096,39294.57128313082,63884.35528774093,0.0544,11701.933574460696,126.13847354095196,INFEASIBLE,
workflow2,Q1,decomposition,inf,3.400063618944144,4617.901110716445,9086.088988163498,11506.378380004682,0.03332,691.8909069741892,759.2292193750036,INFEASIBLE,
workflow2,Q2,decomposition,inf,8.431467589484106,9419.567378767511,22690.32805513888,36409.67231569554,0.03978,4856.536724910673,483.1125039570616,INFEASIBLE,
workflow2,Q3,decomposition,inf,20.95820454237724,14935.820855098937,39353.93770490545,64431.01740397804,0.05596,11795.09909838822,599.4165952489711,INFEASIBLE,
workflow1,Q1,mtgp_3d,0.08616,2.040049147669576,5193.1125639849,10313.703205409109,13487.636806244029,0.08388,1989.025468371212,5.347399708000012,optimal,
workflow1,Q1,mtgp_3d,0.08616,2.040049147669576,5193.1125639849,10313.703205409109,13487.636806244029,0.08388,1989.025468371212,5.625645874999464,optimal,
workflow1,Q1,decomposition,inf,1.801445721249195,4623.320734651276,9024.669359632491,11508.600873272251,0.03196,741.0418368505572,106.05064304199186,INFEASIBLE,
workflow1,Q1,greedy,0.05996,1.801414880619681,4897.577195567061,9801.73525507662,12972.440037043556,0.06354,1648.2311730280903,16.732501958002103,optimal,
workflow1,Q1,single_cloud,0.03062,2.391486378414006,4893.405769887623,9508.6008393529,11981.426288456216,0.04262,942.9985190835994,5.841115208000701,optimal,
workflow1,Q1,murakkab_profile,1.807199755141044,1.801414880619681,4897.577195567061,9801.73525507662,12972.440037043556,0.06354,1648.2311730280903,29.31746508300421,optimal,
workflow1,Q1,mtgp_3d,0.02216,1.801518367141257,4604.5407779365005,8990.694745324578,11476.706974627505,0.03148,728.6772167847754,18.738136041996768,optimal,
workflow2,Q1,decomposition,inf,3.400031383664321,4892.137718907689,9850.910598789009,12967.06459923113,0.06478,1604.4157621317026,396.1875239999936,INFEASIBLE,
workflow2,Q1,greedy,0.05994,3.400031381583923,4892.31612031034,9851.112569112973,12967.258840354214,0.06478,1604.5940531194176,50.99116949999734,optimal,
workflow2,Q1,single_cloud,0.031,8.777811285739618,4886.779274511119,9600.095034543006,11986.813562617755,0.04434,899.0184187923863,12.914362249997794,optimal,
workflow2,Q1,murakkab_profile,3.402415999605348,3.400031383363765,4895.199572475083,9856.361792462432,12973.2874099351,0.06498,1607.944190829398,107.77721791600196,optimal,
workflow2,Q1,mtgp_3d,0.02212,3.4001120982635675,4599.058909597577,9053.721339065069,11474.18819451348,0.03276,678.9040559025673,48.58640295800433,optimal,
workflow1,Q1,decomposition,inf,1.801445721249196,4623.320734651276,9024.669359632491,11508.600873272258,0.03196,741.0418368505581,117.32206354098162,INFEASIBLE,qbr
workflow2,Q1,decomposition,inf,3.4000319747684045,4892.082611198371,9850.872735041838,12967.021080171504,0.06478,1604.3605781101787,499.5742052079877,INFEASIBLE,qbq
workflow1,Q1,single_cloud,0.03062,2.391486378414006,4893.405769887623,9508.6008393529,11981.426288456216,0.04262,942.9985190835994,5.825648042009561,optimal,
workflow1,Q1,greedy,0.05996,1.801414880619681,4897.577195567061,9801.73525507662,12972.440037043556,0.06354,1648.2311730280903,16.88029899999674,optimal,
workflow1,Q1,dpgm,1.807199755141044,1.801414880619681,4897.577195567061,9801.73525507662,12972.440037043556,0.06354,1648.2311730280903,29.730609458012623,optimal,
workflow1,Q1,mtgp,0.02216,1.801518367141257,4604.5407779365005,8990.694745324578,11476.706974627505,0.03148,728.6772167847754,18.37174912499904,optimal,
workflow2,Q1,single_cloud,0.031,8.777811285739618,4886.779274511119,9600.095034543006,11986.813562617755,0.04434,899.0184187923863,13.1746806250012,optimal,
workflow2,Q1,greedy,0.05994,3.400031381583923,4892.31612031034,9851.112569112973,12967.258840354214,0.06478,1604.5940531194176,51.826479750001454,optimal,
workflow2,Q1,dpgm,3.402415999605348,3.400031383363765,4895.199572475083,9856.361792462432,12973.2874099351,0.06498,1607.944190829398,107.37886870799412,optimal,
workflow2,Q1,mtgp,0.02212,3.4001120982635675,4599.058909597577,9053.721339065069,11474.18819451348,0.03276,678.9040559025673,48.41762191599992,optimal,
