workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow1,Q1,workflow1_Q1_q1172,1.0,greedy,2216.755125713856,30481.65724088995,2216.755125713856,2216.755125713856,2866.840603628185,3454.663998830676
workflow1,Q1,workflow1_Q1_q1173,1.0,greedy,857.2468359993975,16184.574184793748,857.2468359993975,857.2468359993975,1209.2776999857344,1502.734733664523
workflow1,Q1,workflow1_Q1_q1174,1.0,greedy,785.1241172892923,10101.285578549618,785.1241172892923,785.1241172892923,976.8038197622153,1173.1184856489222
workflow1,Q1,workflow1_Q1_q1175,1.0,greedy,1294.6266652426411,19063.270554682174,1294.6266652426411,1294.6266652426411,1694.0142842941107,2064.12515199259
workflow1,Q1,workflow1_Q1_q1176,1.0,greedy,1762.2283643644607,23808.849993421813,1762.2283643644607,1762.2283643644607,2266.6422829047788,2722.860912501445
workflow1,Q1,workflow1_Q1_q1177,1.0,greedy,2939.397662222263,29268.5325370587,2939.397662222263,2939.397662222263,3515.005721634923,4091.324084330065
workflow1,Q1,workflow1_Q1_q1178,1.0,greedy,1494.4171582111762,24729.655055422612,1494.4171582111762,1494.4171582111762,2034.7483379767928,2512.612014128083
workflow1,Q1,workflow1_Q1_q1179,1.0,greedy,1606.8203653468581,21729.192445709403,1606.8203653468581,1606.8203653468581,2062.7914337687334,2459.832192397213
workflow1,Q1,workflow1_Q1_q1180,1.0,greedy,1355.0785772436868,17341.718686368484,1355.0785772436868,1355.0785772436868,1707.9587713429175,2027.5303174924657
workflow1,Q1,workflow1_Q1_q1181,1.0,greedy,1933.3920752226354,24190.50818206263,1933.3920752226354,1933.3920752226354,2435.654110138425,2895.4454710905857
workflow1,Q1,workflow1_Q1_q1182,1.0,greedy,1826.5053489757627,30593.89459598731,1826.5053489757627,1826.5053489757627,2502.926986434149,3083.851696696442
workflow1,Q1,workflow1_Q1_q1183,1.0,greedy,1392.5975295090814,19572.057070141665,1392.5975295090814,1392.5975295090814,1802.1714008051135,2170.263227251656
workflow1,Q1,workflow1_Q1_q1184,1.0,greedy,1698.9795742320164,18776.81761761001,1698.9795742320164,1698.9795742320164,2069.6483344961744,2422.4030775225137
workflow1,Q1,workflow1_Q1_q1185,1.0,greedy,1941.584440393689,26029.72538004202,1941.584440393689,1941.584440393689,2494.846562603111,2963.477388009838
workflow1,Q1,workflow1_Q1_q1186,1.0,greedy,1588.9852318831265,23774.797956137605,1588.9852318831265,1588.9852318831265,2096.445469725085,2534.610725654821
workflow1,Q1,workflow1_Q1_q1187,1.0,greedy,416.29289636551783,7310.77823126573,416.29289636551783,416.29289636551783,553.5937326087673,690.7149342720095
workflow1,Q1,workflow1_Q1_q1188,1.0,greedy,2348.5998939103392,29121.996768863417,2348.5998939103392,2348.5998939103392,2958.470835297482,3509.498542341486
workflow1,Q1,workflow1_Q1_q1189,1.0,greedy,1647.31762166594,25214.570086008654,1647.31762166594,1647.31762166594,2195.6303909458557,2671.3024025750497
workflow1,Q1,workflow1_Q1_q1190,1.0,greedy,717.1093853098761,14136.759075533717,717.1093853098761,717.1093853098761,1021.7002632488428,1282.0160491076294
workflow1,Q1,workflow1_Q1_q1191,1.0,greedy,787.8726270456665,11482.7564658395,787.8726270456665,787.8726270456665,1020.4023590328986,1208.5687202701974
