workflow,quality_level,query_id,budget_factor,baseline_aggregation,budget_baseline,baseline_p95_selected,baseline_p95_min,baseline_p95_max,sla_sec_old,sla_sec_new,p95_single_cloud,p95_greedy,p95_dpgm,p95_mtgp
workflow1,Q1,workflow1_Q1_q0102,1.0,max,greedy,12295.229225704752,10998.624963745613,12295.229225704752,12295.229225704752,12295.229225704752,11496.046190047771,12295.229225704752,12295.229225704752,10998.624963745613
workflow1,Q1,workflow1_Q1_q0103,1.0,max,greedy,6327.798950888117,5692.179100699926,6327.798950888117,6327.798950888117,6327.798950888117,6027.282452930345,6327.798950888117,6327.798950888117,5692.179100699926
workflow1,Q1,workflow1_Q1_q0104,1.0,max,greedy,4053.134884223909,3688.420085086277,4053.134884223909,4053.134884223909,4053.134884223909,3882.178947992175,4053.134884223909,4053.134884223909,3688.420085086277
workflow1,Q1,workflow1_Q1_q0105,1.0,max,greedy,7855.935721383616,6960.172573960316,7855.935721383616,7855.935721383616,7855.935721383616,7253.60425380843,7855.935721383616,7855.935721383616,6960.172573960316
workflow1,Q1,workflow1_Q1_q0106,1.0,max,greedy,12526.677722141401,11085.07074273521,12526.677722141401,12526.6777221414,12526.677722141401,11662.075219408305,12526.677722141401,12526.677722141401,11085.07074273521
workflow1,Q1,workflow1_Q1_q0107,1.0,max,greedy,8202.616338083046,7397.560959592911,8202.616338083046,8202.616338083046,8202.616338083046,7798.120152559715,8202.616338083046,8202.616338083046,7397.560959592911
workflow1,Q1,workflow1_Q1_q0108,1.0,max,greedy,10823.645085444756,9686.43788443234,10823.645085444756,10823.645085444756,10823.645085444756,10092.819590346855,10823.645085444756,10823.645085444756,9686.43788443234
workflow1,Q1,workflow1_Q1_q0109,1.0,max,greedy,8243.280702386308,7281.489164310949,8243.280702386308,8243.280702386308,8243.280702386308,7567.6676483587935,8243.280702386308,8243.280702386308,7281.489164310949
workflow1,Q1,workflow1_Q1_q0110,1.0,max,greedy,10574.92072257679,9233.902754506706,10574.92072257679,10574.92072257679,10574.92072257679,9728.650523953147,10574.92072257679,10574.92072257679,9233.902754506706
workflow1,Q1,workflow1_Q1_q0111,1.0,max,greedy,4467.948266897239,3944.6917260756495,4467.948266897239,4467.948266897239,4467.948266897239,4214.534544332827,4467.948266897239,4467.948266897239,3944.6917260756495
workflow1,Q1,workflow1_Q1_q0112,1.0,max,greedy,8245.922768249875,7584.949425598925,8245.922768249875,8245.922768249875,8245.922768249875,8062.951956218036,8245.922768249875,8245.922768249875,7584.949425598925
workflow1,Q1,workflow1_Q1_q0113,1.0,max,greedy,3303.3543486685285,2922.1500107270963,3303.3543486685285,3303.3543486685285,3303.3543486685285,2999.4931020743547,3303.3543486685285,3303.3543486685285,2922.1500107270963
workflow1,Q1,workflow1_Q1_q0114,1.0,max,greedy,9163.513880191751,8217.212961486526,9163.513880191751,9163.513880191753,9163.513880191751,8572.914990310199,9163.513880191751,9163.513880191751,8217.212961486526
workflow1,Q1,workflow1_Q1_q0115,1.0,max,greedy,12744.379679819762,11239.637985440526,12744.379679819762,12744.379679819762,12744.379679819762,11695.486248892545,12744.379679819762,12744.379679819762,11239.637985440526
workflow1,Q1,workflow1_Q1_q0116,1.0,max,greedy,1889.677178741345,1708.1005813814634,1889.677178741345,1889.677178741345,1889.677178741345,1765.439760562753,1889.677178741345,1889.677178741345,1708.1005813814634
workflow1,Q1,workflow1_Q1_q0117,1.0,max,greedy,9786.273577875378,8603.258181873622,9786.273577875378,9786.273577875378,9786.273577875378,8908.971026463347,9786.273577875378,9786.273577875378,8603.258181873622
workflow1,Q1,workflow1_Q1_q0118,1.0,max,greedy,1602.790470044751,1434.9745018418732,1602.790470044751,1602.790470044751,1602.790470044751,1498.0442071390487,1602.790470044751,1602.790470044751,1434.9745018418732
workflow1,Q1,workflow1_Q1_q0119,1.0,max,greedy,11216.66952213901,9897.765579266388,11216.66952213901,11216.66952213901,11216.66952213901,10128.22454864589,11216.66952213901,11216.66952213901,9897.765579266388
workflow1,Q1,workflow1_Q1_q0120,1.0,max,greedy,1512.8180249505112,1342.3144492796762,1512.8180249505112,1512.8180249505112,1512.8180249505112,1402.6935943630249,1512.8180249505112,1512.8180249505112,1342.3144492796762
workflow1,Q1,workflow1_Q1_q0121,1.0,max,greedy,12424.061961080959,11105.466560292467,12424.061961080959,12424.06196108096,12424.061961080959,11838.711419513933,12424.061961080959,12424.061961080959,11105.466560292467
workflow1,Q1,workflow1_Q1_q0122,1.0,max,greedy,2147.0219696229274,1930.6068276127294,2147.0219696229274,2147.0219696229274,2147.0219696229274,1970.6837550157272,2147.0219696229274,2147.0219696229274,1930.6068276127294
workflow1,Q1,workflow1_Q1_q0123,1.0,max,greedy,13449.43749015678,12013.571331094903,13449.43749015678,13449.43749015678,13449.43749015678,12443.73455110498,13449.43749015678,13449.43749015678,12013.571331094903
workflow1,Q1,workflow1_Q1_q0124,1.0,max,greedy,11728.590729691792,10399.311585593814,11728.590729691792,11728.590729691792,11728.590729691792,10874.150758684913,11728.590729691792,11728.590729691792,10399.311585593814
workflow1,Q1,workflow1_Q1_q0125,1.0,max,greedy,8330.614602681288,7454.486397040273,8330.614602681288,8330.614602681288,8330.614602681288,7754.212680649296,8330.614602681288,8330.614602681288,7454.486397040273
workflow1,Q1,workflow1_Q1_q0126,1.0,max,greedy,12779.225237843844,11159.806366760193,12779.225237843844,12779.225237843844,12779.225237843844,11857.524073838624,12779.225237843844,12779.225237843844,11159.806366760193
workflow1,Q1,workflow1_Q1_q0127,1.0,max,greedy,8940.986127399567,8236.059200617312,8940.986127399567,8940.986127399567,8940.986127399567,8726.941701510901,8940.986127399567,8940.986127399567,8236.059200617312
workflow1,Q1,workflow1_Q1_q0128,1.0,max,greedy,12443.94463195433,11139.276347052524,12443.94463195433,12443.94463195433,12443.94463195433,11619.999826908252,12443.94463195433,12443.94463195433,11139.276347052524
