workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p90_max,sla_sec_old,sla_sec_new,p90_greedy,p90_murakkab_profile,p90_single_cloud
workflow1,Q1,workflow1_Q1_q0114,1.0,single_cloud,2389.4221285780145,22604.998378196524,2389.4221285780145,783.0479588181122,1309.3748452154348,2389.4221285780145
workflow1,Q1,workflow1_Q1_q0115,1.0,single_cloud,549.4403843270493,6118.639767581703,549.4403843270493,187.62204253176478,311.62184566817336,549.4403843270493
workflow1,Q1,workflow1_Q1_q0116,1.0,single_cloud,223.18228683567995,3089.943455801068,223.18228683567995,96.88662448184886,141.14840395624663,223.18228683567995
workflow1,Q1,workflow1_Q1_q0117,1.0,single_cloud,545.8066286267199,5758.75022948331,545.8066286267199,225.1145533129883,332.7915629857899,545.8066286267199
workflow1,Q1,workflow1_Q1_q0118,1.0,single_cloud,2978.6367148731993,28694.86307231853,2978.6367148731993,886.4023279518636,1570.131671170458,2978.6367148731993
workflow1,Q1,workflow1_Q1_q0119,1.0,single_cloud,110.35295416898431,1970.0709094682484,110.35295416898431,54.616370450669564,77.06953993585793,110.35295416898431
workflow1,Q1,workflow1_Q1_q0120,1.0,single_cloud,659.213602254758,7231.27626390714,659.213602254758,207.90450629466181,360.9365484829607,659.213602254758
workflow1,Q1,workflow1_Q1_q0121,1.0,single_cloud,174.27313586427468,2617.17217607612,174.27313586427468,75.37820677426687,107.66906108003985,174.27313586427468
workflow1,Q1,workflow1_Q1_q0122,1.0,single_cloud,438.01816384135805,4948.515015912657,438.01816384135805,160.96966593696595,253.5446622277241,438.01816384135805
workflow1,Q1,workflow1_Q1_q0123,1.0,single_cloud,1957.097323200197,19919.2263397126,1957.097323200197,512.1315566935851,982.3730327208966,1957.097323200197
workflow1,Q1,workflow1_Q1_q0124,1.0,single_cloud,851.3291009354797,8797.834416571819,851.3291009354797,267.0345459012779,455.96522744681096,851.3291009354797
workflow1,Q1,workflow1_Q1_q0125,1.0,single_cloud,1851.9672459927926,18422.588465754143,1851.9672459927926,541.8922337466038,970.1748255606914,1851.9672459927926
workflow1,Q1,workflow1_Q1_q0126,1.0,single_cloud,1993.4740545032034,19039.120736434317,1993.4740545032034,647.6444797809479,1086.527299516902,1993.4740545032034
workflow1,Q1,workflow1_Q1_q0127,1.0,single_cloud,2715.0525180057307,26656.108956843887,2715.0525180057307,743.8033918435549,1378.2894117240467,2715.0525180057307
workflow1,Q1,workflow1_Q1_q0128,1.0,single_cloud,96.12682790438548,1837.3116065366792,96.12682790438548,53.62712827929044,72.11205962630056,96.12682790438548
workflow1,Q1,workflow1_Q1_q0129,1.0,single_cloud,3003.9482703390954,26771.701454397426,3003.9482703390954,1124.4267798167295,1738.0517385294395,3003.9482703390954
workflow1,Q1,workflow1_Q1_q0130,1.0,single_cloud,2059.63540115051,19888.956997397352,2059.63540115051,652.4161919935356,1114.2731523766224,2059.63540115051
workflow1,Q1,workflow1_Q1_q0131,1.0,single_cloud,581.2182190756139,6479.729108735864,581.2182190756139,188.25825875525925,321.7287516633587,581.2182190756139
workflow1,Q1,workflow1_Q1_q0132,1.0,single_cloud,2554.726348403042,24408.446338190915,2554.726348403042,801.7160733849262,1374.3108552552033,2554.726348403042
workflow1,Q1,workflow1_Q1_q0133,1.0,single_cloud,2982.378902116726,26834.05248089099,2982.378902116726,1091.8915567812726,1707.7179083731496,2982.378902116726
workflow1,Q1,workflow1_Q1_q0134,1.0,single_cloud,880.4939445814838,9168.769679664649,880.4939445814838,300.4890164959788,500.518550163882,880.4939445814838
workflow1,Q1,workflow1_Q1_q0135,1.0,single_cloud,2924.1777542760037,28693.995932282567,2924.1777542760037,816.0571785122191,1502.813719579236,2924.1777542760037
workflow1,Q1,workflow1_Q1_q0136,1.0,single_cloud,1520.1579022583041,15050.868217035162,1520.1579022583041,466.739750378652,809.4972300545855,1520.1579022583041
workflow1,Q1,workflow1_Q1_q0137,1.0,single_cloud,1938.3133103280668,19427.817317221656,1938.3133103280668,531.4318850997122,987.5161244147345,1938.3133103280668
workflow1,Q1,workflow1_Q1_q0138,1.0,single_cloud,3102.6105942622207,30628.972596753603,3102.6105942622207,856.9957202638134,1591.372506753676,3102.6105942622207
workflow1,Q1,workflow1_Q1_q0139,1.0,single_cloud,1231.7534420138809,12320.653062576954,1231.7534420138809,400.5822783076422,675.6245709187715,1231.7534420138809
workflow1,Q1,workflow1_Q1_q0140,1.0,single_cloud,2676.630813576294,25590.247898886555,2676.630813576294,832.1119955518807,1436.1839709702156,2676.630813576294
workflow1,Q1,workflow1_Q1_q0141,1.0,single_cloud,1078.4575536706777,11053.2028800358,1078.4575536706777,340.9032699190821,586.2695708764313,1078.4575536706777
workflow1,Q1,workflow1_Q1_q0142,1.0,single_cloud,2723.1367950245713,25180.49171049949,2723.1367950245713,941.8966331740711,1525.6288195897514,2723.1367950245713
workflow1,Q1,workflow1_Q1_q0143,1.0,single_cloud,2044.6143050550922,19348.764004022163,2044.6143050550922,683.1171522289889,1127.963725625355,2044.6143050550922
workflow1,Q1,workflow1_Q1_q0144,1.0,single_cloud,809.0205948160095,8054.963037112744,809.0205948160095,284.20891655902534,453.0839323125517,809.0205948160095
workflow1,Q1,workflow1_Q1_q0145,1.0,single_cloud,1419.5346321745747,13862.914687715343,1419.5346321745747,477.6551604814536,788.8596056622124,1419.5346321745747
workflow1,Q1,workflow1_Q1_q0146,1.0,single_cloud,1075.771262340328,11030.770208870172,1075.771262340328,338.1856363040162,582.3186153751204,1075.771262340328
workflow1,Q1,workflow1_Q1_q0147,1.0,single_cloud,323.97853647935665,3992.980805487251,323.97853647935665,115.15450818853712,181.13129495172063,323.97853647935665
workflow1,Q1,workflow1_Q1_q0148,1.0,single_cloud,171.1852768989053,2574.6052150693117,171.1852768989053,68.44821669132071,101.98093326976938,171.1852768989053
workflow1,Q1,workflow1_Q1_q0149,1.0,single_cloud,1165.1716239131956,11878.23585317379,1165.1716239131956,362.9545681268422,626.0035469602876,1165.1716239131956
workflow1,Q1,workflow1_Q1_q0150,1.0,single_cloud,144.45404560390006,2257.2613311733908,144.45404560390006,65.30879895720913,93.93114893995175,144.45404560390006
workflow1,Q1,workflow1_Q1_q0151,1.0,single_cloud,600.3602611767637,6560.361293267713,600.3602611767637,211.46226077683633,341.69692394306054,600.3602611767637
workflow1,Q1,workflow1_Q1_q0152,1.0,single_cloud,2421.582772640705,23005.33633324023,2421.582772640705,781.9673123639398,1320.1591192382546,2421.582772640705
workflow1,Q1,workflow1_Q1_q0153,1.0,single_cloud,2385.5387608643464,22503.136686855178,2385.5387608643464,780.0612012478666,1306.3044684542156,2385.5387608643464
workflow1,Q1,workflow1_Q1_q0154,1.0,single_cloud,2494.468078405223,23398.96891489082,2494.468078405223,816.8056886313395,1362.0860339449,2494.468078405223
workflow1,Q1,workflow1_Q1_q0155,1.0,single_cloud,1069.907983489681,11016.594474141037,1069.907983489681,323.06509509805556,570.0168966483973,1069.907983489681
