workflow,quality_level,query_id,budget_factor,budget_baseline,baseline_p95_min,sla_sec_old,sla_sec_new,p95_greedy,p95_murakkab_profile,p95_single_cloud
workflow2,Q2,workflow2_Q2_q1833,1.0,single_cloud,10806.136267398233,11794.926156532309,10806.136267398233,11883.743411602778,11270.409046227373,10806.136267398233
workflow2,Q2,workflow2_Q2_q1834,1.0,single_cloud,11783.63490551576,17508.44631401211,11783.63490551576,12495.383658901248,12120.320298033239,11783.63490551576
workflow2,Q2,workflow2_Q2_q1835,1.0,single_cloud,17896.00809923059,21302.39021051228,17896.00809923059,19438.74534310238,18441.245216482974,17896.00809923059
workflow2,Q2,workflow2_Q2_q1836,1.0,murakkab_profile,22668.05618277811,22803.788588299827,22668.05618277811,25326.297682543678,22668.05618277811,22958.73693617663
workflow2,Q2,workflow2_Q2_q1837,1.0,single_cloud,11859.62634378148,19184.033404635407,11859.62634378148,12416.263881529652,12586.692445970833,11859.62634378148
workflow2,Q2,workflow2_Q2_q1838,1.0,single_cloud,8930.002198063112,12035.721196969218,8930.002198063112,9599.764102137857,9156.563962084085,8930.002198063112
workflow2,Q2,workflow2_Q2_q1839,1.0,single_cloud,7388.901345160855,8692.401046361896,7388.901345160855,8085.264154783156,7563.636211896982,7388.901345160855
workflow2,Q2,workflow2_Q2_q1840,1.0,single_cloud,13578.46524990386,18973.72394357873,13578.46524990386,14504.46457741869,14415.02439762314,13578.46524990386
workflow2,Q2,workflow2_Q2_q1841,1.0,murakkab_profile,10003.909341023795,17155.055690372137,10003.909341023795,10649.663533507512,10003.909341023795,10211.957553362337
workflow2,Q2,workflow2_Q2_q1842,1.0,single_cloud,2344.5554591750156,3543.3851679709323,2344.5554591750156,2556.053768778755,2365.294266436434,2344.5554591750156
workflow2,Q2,workflow2_Q2_q1843,1.0,single_cloud,1093.1762720877305,1860.5349707923813,1093.1762720877305,1213.3537115286294,1100.2902478678943,1093.1762720877305
workflow2,Q2,workflow2_Q2_q1844,1.0,single_cloud,7257.464942718342,11269.978469128688,7257.464942718342,7685.416923571812,7382.230758801142,7257.464942718342
workflow2,Q2,workflow2_Q2_q1845,1.0,single_cloud,9093.1542551035,13380.135617951306,9093.1542551035,9683.192938549102,9287.815597736633,9093.1542551035
workflow2,Q2,workflow2_Q2_q1846,1.0,single_cloud,10156.046841934647,12427.963846783396,10156.046841934647,11031.025996265618,10347.368552406828,10156.046841934647
workflow2,Q2,workflow2_Q2_q1847,1.0,murakkab_profile,16241.557114712203,15956.968563671544,16241.557114712203,17977.281890505816,16241.557114712203,16245.232099839895
workflow2,Q2,workflow2_Q2_q1848,1.0,murakkab_profile,6734.509355804472,9202.300240393244,6734.509355804472,7293.305365932315,6734.509355804472,6767.86355398406
