workflow,quality,method,src,dst,src_provider,src_region,dst_provider,dst_region,egress_cost_per_gb,mean_output_mb,network_cost
workflow2,Q3,Greedy,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
workflow2,Q3,Greedy,Video Split & Sample,Video Caption,Aliyun,cn-shanghai,Azure,westus2,0.118,5.106488547414993,0.0005884430162060227
workflow2,Q3,Greedy,Video Caption,Database,Azure,westus2,Aliyun,cn-shanghai,0.087,0.025500662942872978,2.166560230497998e-06
workflow2,Q3,Greedy,Video Split & Sample,OCR,Aliyun,cn-shanghai,Azure,westus2,0.118,5.106488547414993,0.0005884430162060227
workflow2,Q3,Greedy,OCR,Database,Azure,westus2,Aliyun,cn-shanghai,0.087,0.010118361645188506,8.59665491339264e-07
workflow2,Q3,Greedy,Video Split & Sample,Label Detection,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,5.106488547414993,0.0
workflow2,Q3,Greedy,Label Detection,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.04266330580209107,0.0
workflow2,Q3,Greedy,ClientSource,Speech Transcription,client,local,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
workflow2,Q3,Greedy,Speech Transcription,Database,Aliyun,cn-shanghai,Aliyun,cn-shanghai,0.0,0.30488300407935587,0.0
workflow2,Q3,Greedy,Database,Q/A,Aliyun,cn-shanghai,Azure,eastus,0.118,0.057217991680314606,6.593479510036177e-06
workflow2,Q3,Greedy,Q/A,ClientSink,Azure,eastus,client,local,0.087,0.014271897295849685,1.2125537741590921e-06
workflow2,Q3,Murakkab-style,ClientSource,Shot Detection,client,local,Aliyun,cn-shanghai,0.0,153.37917101888698,0.0
workflow2,Q3,Murakkab-style,Shot Detection,Video Split & Sample,Aliyun,cn-shanghai,Aliyun,ap-southeast-1,0.8,153.37917101888698,0.11982747735850395
workflow2,Q3,Murakkab-style,Video Split & Sample,Video Caption,Aliyun,ap-southeast-1,Anthropic,global,0.12,5.106488547414993,0.0005984166266502006
workflow2,Q3,Murakkab-style,Video Caption,Database,Anthropic,global,Aliyun,cn-beijing,0.12,0.025500662942872978,2.9883589386179067e-06
workflow2,Q3,Murakkab-style,Video Split & Sample,OCR,Aliyun,ap-southeast-1,AWS,ap-southeast-1,0.1,5.106488547414993,0.0004986805222084895
workflow2,Q3,Murakkab-style,OCR,Database,AWS,ap-southeast-1,Aliyun,cn-beijing,0.12,0.010118361645188506,1.1857455052955496e-06
workflow2,Q3,Murakkab-style,Video Split & Sample,Label Detection,Aliyun,ap-southeast-1,Aliyun,ap-southeast-1,0.0,5.106488547414993,0.0
workflow2,Q3,Murakkab-style,Label Detection,Database,Aliyun,ap-southeast-1,Aliyun,cn-beijing,0.8,0.04266330580209107,3.333070765788399e-05
workflow2,Q3,Murakkab-style,ClientSource,Speech Transcription,client,local,Aliyun,cn-beijing,0.0,153.37917101888698,0.0
workflow2,Q3,Murakkab-style,Speech Transcription,Database,Aliyun,cn-beijing,Aliyun,cn-beijing,0.0,0.30488300407935587,0.0
workflow2,Q3,Murakkab-style,Database,Q/A,Aliyun,cn-beijing,Anthropic,global,0.12,0.057217991680314606,6.705233400036802e-06
workflow2,Q3,Murakkab-style,Q/A,ClientSink,Anthropic,global,client,local,0.12,0.014271897295849685,1.6724879643573527e-06
